花の名前,花言葉
アイ,「美しい装い」「あなた次第」
アイビー,「夫婦愛」「友情」「結婚」「誠実」
アイリス,「良い便りを」「メッセージ」「希望」
アカシア,「秘密の恋」「友情」
アカネ,「私を思って」「媚び」
アガパンサス,「恋の訪れ」「ラブレター」「知的な装い」
アカンサス,「芸術」「技巧」
アケビ,「才能」「唯一の恋」
アゲラタム,「信頼」「安楽」
アキノキリンソウ,「予防」「用心」「警戒」「励まし」
アサガオ,「はかない恋」「固い絆」「愛情」
アザミ,「独立」「報復」「厳格」「触れないで」
アザレア,「節制」「禁酒」「恋の喜び」
アジアンタム,「天真爛漫（天真爛漫）」「繊細」
アジサイ,「移り気」「冷淡」「辛抱強さ」「冷酷」「無常」「高慢」
アジサイ（白）,「寛容」
アシュガ,「強い友情」「心休まる家庭」
アスター,「変化」「追憶」「同感」「信じる恋」
アスター（青）,「信頼」「あなたを信じているけど心配」
アスター（赤）,「信頼」「あなたを信じているけど心配」
アスター（白）,「私を信じてください」
アスター（ピンク）,「甘い夢」
アスター（紫）,「恋の勝利」「私の愛はあなたの愛より深い」
アスチルベ,「恋の訪れ」「自由」
アセビ,「犠牲」「献身」「あなたと二人で旅をしましょう」
アツモリソウ,「君を忘れない」
アネモネ,「はかない恋」「恋の苦しみ」「見捨てられた」「見放された」
アネモネ（赤）,「君を愛す」
アネモネ（白）,「真実」「期待」「希望」
アネモネ（紫）,「あなたを信じて待つ」
アベリア,「強運」「謙虚」「謙譲」
アマリリス,「誇り」「おしゃべり」「輝くばかりの美しさ」
アヤメ,「良い便り」「メッセージ」「希望」
アリウム,「深い悲しみ」「正しい主張」
アルストロメリア,「持続」「未来への憧れ」「エキゾチック」
アルストロメリア（赤）,「幸い」
アルストロメリア（白）,「凛々しさ」
アルストロメリア（ピンク）,「気配り」
アルメリア,「同情」「思いやり」「共感」
アロエ,「苦痛」「悲嘆」
アングレカム,「祈り」「いつまでもあなたと一緒に」
アンスリウム,「煩悩」「恋にもだえる心」
アンスリウム（赤）,「情熱」
アンスリウム（白）,「熱心」
アンスリウム（ピンク）,「飾らない美しさ」
アンズ,「臆病な愛」「乙女のはにかみ」「疑い」「疑惑」
アンモビウム,「不変の誓い」「永遠の悲しみ」
イカリソウ,「君を離さない」「旅立ち」
イキシア,「誇り高い」「秘めた恋」「団結」
イチゴ,「尊重と愛情」「幸福な家庭」「先見の明」「あなたを喜ばせる」
イチハツ,「使者」「火の用心」「付き合い上手」
イチョウ,「壮厳」「長寿」「鎮魂」
イヌサフラン,「私の最良の日々は過ぎ去った」「危険な美しさ」
イベリス,「心をひきつける」「初恋の思い出」「甘い誘惑」
インハチェイス,「鮮やかな人」「強い個性」
ウスベニアオイ,「穏やか」「柔和な心」
ウスベニタチアオイ,「恩恵」「慈善」
ウツギ,「秘密」「古風」
ウメ,「高潔」「忠実」「忍耐」
ウメ（白）,「気品」
エキザカム,「あなたを愛します」
エゴノキ,「壮大」
エゾギク,「変化」「追憶」「同感」「信じる恋」
エゾキク(青),「信頼」「あなたを信じているけど心配」
エゾキク（赤）,「変化を好む」
エゾギク（白）,「私を信じてください」
エゾキク（ピンク）,「甘い夢」
エゾギク（紫）,「恋の勝利」「私の愛はあなたの愛より深い」
エーデルワイス,「大切な思い出」「勇気」
エニシダ,「謙遜」「卑下」「清潔」
エビネ,「謙虚」「謙虚な恋」
エリカ,「孤独」「寂しさ」「博愛」「良い言葉」
オウバイ,「控えめな美」「期待」「恩恵」
オオイヌノフグリ,「忠実」「信頼」「清らか」
オオデマリ,「華やかな恋」「約束を守って」「天国」
オキナグサ,「清純な心」「告げられぬ恋」「何も求めない」「裏切りの恋」
オジギソウ,「繊細な感情」「感受性」「敏感」
オシロイバナ,「臆病」「内気」「恋を疑う」
オダマキ,「愚か」
オダマキ（赤）,「心配して震えている」
オダマキ（白）,「あの方が気がかり」
オダマキ（紫）,「勝利への決意」
オトギリソウ,「迷信」「敵意」「秘密」「恨み」
オドリコソウ,「快活」「陽気」
オドントグロッサム,「特別な存在」
オーニソガラム,「純粋」
オミナエシ,「美人」「はかない恋」「親切」
オリーブ,「平和」「知恵」
オレンジ,「純粋」「愛らしさ」「花嫁の喜び」
オレンジの実,「美しさ」「優しさ」
オレンジの木,「寛大」「気前のよさ」
オンシジューム,「可憐」「一緒に踊って」
カエデ,「大切な思い出」「美しい変化」「遠慮」
カキドオシ,「楽しみ」「享楽」
カキツバタ,「幸せは必ず来る」
ガザニア,「あなたを誇りに思う」「きらびやか」「潔白」
カジュマル,「健康」
カスミソウ,「清らかな心」「無邪気」「親切」「幸福」
カスミソウ（ピンク）,「切なる願い」「感激」
カタクリ,「初恋」「寂しさに耐える」
カタバミ,「喜び」「輝く心」「母のやさしさ」
カトレア,「優美な貴婦人」「成熟した大人の魅力」「魔力」「魅惑的」
カナメモチ,「賑やか」
カーネーション,「無垢で深い愛」
カーネーション（青）,「永遠の幸福」
カーネーション（赤）,「母への愛」
カーネーション（黄）,「軽蔑」
カーネーション（白）,「純粋な愛」「私の愛は生きています」
カーネーション（ピンク）,「女性の愛」「熱愛」「美しいしぐさ」
カーネーション（紫）,「誇り」「気品」
カネノナルキ,「幸運を招く」「一攫千金」「富」
ガーベラ,「希望」「常に全身」
ガーベラ（赤）,「神秘」
ガーベラ（オレンジ）,「我慢強さ」
ガーベラ（黄）,「究極美」「親しみやすい」
ガーベラ（白）,「希望」「律儀」
ガーベラ（ピンク）,「崇高美」
ガマズミ,「結合」「私を無視しないで」
カモミール,「逆境に耐える」「逆境で生まれる力」
カラー,「華麗なる美」「乙女のしとやかさ」「清浄」
カラスウリ,「よき便り」「誠実」「男嫌い」
カランコエ,「幸福を告げる」「たくさんの小さな思い出」「あなたを守る」「おおらかな心」
カリン,「豊麗（豊かな感じで美しい）」「唯一の恋」
カルミア,「優美な女性」「大きな希望」「野心」
カロライナジャスミン,「あまいささやき」「長寿」
カンナ,「情熱」「快活」「永遠」「妄想」
カンパニュラ,「感謝」「誠実」「節操」
キキョウ,「永遠の愛」「誠実」「清楚」「従順」
キク,「高貴」「高潔」「高尚」
キク（赤）,「あなたを愛しています」
キク（黄）,「破れた恋」
キク（白）,「真実」
キバナコスモス,「野性的な美しさ」
キボウシ,「沈静」
キョウトウチク,「注意」「危険」「用心」
キリ,「高尚」
キンギョソウ,「おしゃべり」「でしゃばり」「おせっかい」「推測ではやはいだめ」
キンセンカ,「別れの悲しみ」「悲嘆」「寂しさ」「失望」
キンモクセイ,「謙虚」「気高い人」
ギンモクセイ,「初恋」
クサイチゴ,「幸福な家庭」「尊重と愛情」
グズマニア,「理想の夫婦」「情熱」
クチナシ,「とても幸せです」「喜びを運ぶ」「洗練」「優雅」
クチベニスイセン,「すてきな装い」
グラジオラス,「密会」「用心」「思い出」「忘却」「勝利」
グラジオラス（赤）,「堅固」「用心深い」
グラジオラス（ピンク）,「たゆまぬ努力」「ひたむきな愛」「満足」
グラジオラス（紫）,「情熱的な恋」
クリ,「私に対して公平であれ」「贅沢」
クリスマスローズ,「私の不安をやわらげて」「慰め」「中傷」
クルクマ,「あなたの姿に酔いしれる」
クレオメ,「秘密のひととき」「あなたの容姿に酔う」
クレマチス,「精神の美」「旅人の喜び」「策略」
グロキシニア,「華やかな日々」「艶麗（容姿や仕草が艶かしく美しい）」「媚態（媚びる様子）」
クロッカス,「青春の喜び」「切望」
クロッカス（黄）,「私を信じて」
クロッカス（紫）,「愛の後悔」
クローバー,「私を思って」「幸運」「約束」「復讐」
クローバー（四葉）,「幸運」「私のものになって」
クローバー（白）,「私を思って」「約束」
クローバー（赤）,「勤勉」
クロユリ,「恋」「呪い」
グロリオサ,「栄光」「勇敢」
クンシラン,「高貴」「誠実」「情けぶかい」
ケイトウ,「おしゃれ」「気取り」「風変わり」
ゲッカビジン,「はかない美」「はかない恋」「あでやかな美人」
ゲッケイジュ,「栄光」「勝利」「栄誉」
ゲッケイジュ（花）,「裏切り」
ゲッケイジュ（葉）,「私は死ぬまで変わりません」
コウテイダリア,「乙女の真心」「乙女の純潔」
コスモス（赤）,「愛情」「調和」
コスモス（白）,「優美」
コスモス（ピンク）,「純潔」
コチョウラン,「幸福が飛んでくる」「純粋な愛」
コチョウラン（白）,「清純」
コチョウラン（ピンク）,「あなたを愛しています」
ゴデチア,「変わらぬ愛」「お慕いいたします」
コデマリ,「優雅」「上品」「友情」
コハコベ,「愛らしさ」「ランデブー」「追憶」
コブシ,「友情」「友愛」「愛らしさ」
ゴボウ,「私に触らないで」「しつこくせがむ」「用心」「いじめないで」
コリウス,「叶わぬ恋」「善良な家風」「健康」
コルチカム,「私の最良の日々は過ぎ去った」「危険な美しさ」
サイネリア,「いつも快活」「喜び」
サギソウ,「清純」「繊細」「夢でもあなたを思う」
サクラ,「精神の美」「優雅な女性」
サクラ（ソメイヨシノ）,「純潔」「優れた美人」
サクラ（シダレザクラ）,「優美」「ごまかし」
サクラ（サトザクラ、ヤエザクラ）,「豊かな教養」「善良な教育」「しとやか」
サクラ（ヤマザクラ）,「あなたに微笑む」「純潔」「高尚」「淡白」「美麗」
サクラ（フユザクラ）,「冷静」
サクラ（カンザクラ）,「気まぐれ」
サクラソウ,「初恋」「憧れ」「純潔
ザクロ（花）,「円熟した優雅さ」
ザクロ（実）,「愚かしさ」「結合」
サザンカ,「困難に打ち勝つ」「ひたむきさ」
サザンカ（赤）,「謙譲」「あなたがもっとも美しい」
サザンカ（白）,「愛嬌」「あなたは私の愛を退ける」
サザンカ（ピンク）,「永遠の愛」
サツキ,「節制」
サフラン,「歓喜」「過度をつつしめ」「濫用するな」
サボテン,「燃える心」「偉大」「暖かい心」「枯れない愛」
サルスベリ,「雄弁」「愛嬌」「不用意」
サルビア,「尊敬」「知恵」「良い家庭」「家族愛」
サルビア（赤）,「燃える思い」
サルビア（青）,「尊敬」「知恵」
サワギキョウ,「高貴」「悪意」「特異な才能」
サンザシ,「希望」「慎重」
サンシュユ,「持続」「耐久」「気丈な愛」
サンダーソニア,「望郷」「祈り」「愛嬌」
サントリア,「悪を遠ざける」「移り気な人」
サンビタリア,「私を見つめて」
シオン,「追憶」「君を忘れない」「遠方にある人を思う」
ジギタリス,「不誠実」「熱愛」
シクラメン,「遠慮」「気後れ」「内気」「はにかみ」
シクラメン（赤）,「嫉妬」
シクラメン（白）,「清純」
シクラメン（ピンク）,「憧れ」「内気」「はにかみ」
シダレヤナギ,「悲哀」
ジニア,「不在の友を思う」「注意を怠るな」
シネラリア,「いつも快活」「喜び」
シバサクラ,「合意」「一致」「臆病な心」
シーマニア,「繁栄」「コミュニケーション」
シモツケ,「はかなさ」「無駄」「無益」
シャガ,「反抗」「抵抗」「決心」「友人が多い」
シャクナゲ,「威厳」「荘厳」「危険」
シャクヤク,「恥じらい」「はにかみ」「謙遜」
シャコバサボテン,「一時の美」「美しい眺め」
シャスタ・デイジー,「忍耐」
ジャスミン,「愛想のよい」「優美」「愛らしさ」「官能的」
ジャスミン（白）,「温順」「柔和」「好色」
ジャスミン,「優美」「優雅」
ジャーマンアイリス,「燃える思い」「情熱」
シュウカイドウ,「恋の悩み」「片思い」
シュウメイギク,「薄れゆく愛」「忍耐」
シュンラン,「控えめな美」
ショカツサイ,「熱狂」「知恵の泉」「優秀」
シラー,「寂しさ」「哀れ」「多感な心」「変わらない愛」
シルクジャスミン,「純真な心」
シロバナタンポポ,「私を探して、そして見つけて」
シロヤブケマン,「あなたの助けになる」
ジンジャー,「豊かな心」「無駄なこと」
ジンチョウゲ,「栄光」「不死」「不滅」「永遠」
シンビジウム,「飾らない心」「素朴」「高貴な美人」「華やかな恋」
スイカズラ,「愛の絆」「献身的な愛」
スイセン,「うぬぼれ」「自己愛」「エゴイズム」
スイセン（黄）,「もう一度愛してほしい」「私のもとへ帰って」
スイセンノウ,「私の愛は不変」
スイートアリッサム,「優美」「美しさに優る価値」
スイートピー,「門出」「別離」「ほのかな喜び」「優しい思い出」
スイレン,「清純な心」「信頼」「信仰」
スカビオサ,「不幸な愛」「私はすべてを失った」
スグリ,「あなたの不機嫌が私を苦しめる」「私はあなたを喜ばせる」
スズカケノキ,「天才」「好奇心」
ススキ,「活力」「心が通じる」
スズラン,「再び幸せが訪れる」「純粋」「純潔」「謙遜」
スターチス,「変わらぬ心」「途絶えぬ記憶」
スターチス（黄）,「愛の喜び」「誠実」
スターチス（ピンク）,「永久不変」
スターチス（紫）,「しとやか」「上品」
ステルンベルギア,「待ちきれない」
ストケシア,「追想」「清楚な娘」
ストック,「永遠の美」「愛情の絆」「求愛」
ストック（赤）,「私を信じて」
ストック（白）,「思いやり」「ひそやかな愛」
ストック（黄）,「さびしい恋」
ストック（ピンク）,「ふくよかな愛情」
ストック（紫）,「おおらかな愛情」
ストレフトカーバス,「ささやきに耳を傾けて」「信頼に応える」
ストレリチア,「気取った恋」「恋する伊達者」
スノードロップ,「希望」「慰め」
スノーフレーク,「純粋」「純潔」「汚れなき心」「皆をひきつける魅力」
す,
スパティフィラム,「上品な淑女」「清らかな心」
スミレ,「謙虚」「誠実」「小さな幸せ」
スミレ（白）,「あどけない恋」「無邪気な恋」「純潔」
スミレ（黄）,「田園の幸福」「つつましい喜び」
スミレ（紫）,「貞節」「愛」
スモモ,「誤解」
セフィランサス,「汚れなき愛」「便りがある」「期待
ゼラニウム,「尊敬」「信頼」「真の友情」
ゼラニウム（赤）,「君ありて幸福」
ゼラニウム（白）,「私はあなたの愛を信じない」
ゼラニウム（ピンク）,「決心」「決意」
ゼラニウム（黄）,「予期せぬ出会い」
ゼラニウム（緋色）,「憂うつ」
セリ,「清廉で高潔」「貧しくても高潔」
セントポーリア,「小さな愛」
センニチコウ,「色褪せぬ愛」「不朽」
タイサンボク,「前途洋洋（未来が広々と開けている）」「壮麗」
タイム,「勇気」「活動力」
タケ,「節度」「活動力」
タチアオイ,「大望」「野心」「豊かな実り」「気高く威厳に満ちた美」
ダチュラ,「愛嬌」「偽りの魅力」
ダリア,「華麗」「優雅」「気品」「移り気」「不安定」
タンジー,「あなたとの戦いを宣言する」「抵抗」「婦人の美徳」
タンポポ,「愛の神託」「神託」「真心の愛」「別離」
チューベローズ,「危険な快楽」
チューリップ,「思いやり」
チューリップ（赤）,「愛の告白」
チューリップ（白）,「失われた愛」
チューリップ（ピンク）,「愛の芽生え」「誠実な愛」
チューリップ（黄）,「のぞみのない恋」「名声」
チューリップ（紫）,「不滅の愛」
ツキミソウ,「無言の愛情」「移り気」
ツクシ,「向上心」「意外」「驚き」
ツクシキケマン,「寂しさに耐える」「祈りある生活」
ツツジ,「節度」「慎み」
ツツジ（赤）,「恋の喜び」
ツツジ（白）,「初恋」
ツバキ,「控えめな優しさ」「誇り」
ツバキ（赤）,「控えめな素晴らしさ」「気取らない優美さ」「謙虚な美徳」
ツバキ（白）,「完全なる美しさ」「申し分のない魅力」「至上の愛らしさ」
ツバキ（ピンク）,「控えめな美」「控えめな愛」「慎み深い」
ツユクサ,「なつかしい関係」
ツルニチニチソウ,「楽しき思い出」「幼馴染」
ツワブキ,「謙譲」「困難に負けない」
ツンベルギア,「黒い瞳」「美しい瞳」
